tahun,agama,ekonomi,jumlah,kesehatan,ketertiban_dan_keamanan,lingkungan_hidup,pariwisata_dan_budaya,perlindungan_sosial,perumahan_dan_fasilitas_umum,pendidikan,pelayanan_umum,pertahanan
2014,4463.0,128274.0,1249943.0,13078.0,37953.0,12179.0,2053.0,8063.0,31487.0,131314.0,794772.0,86307.0
2015,5290.0,143526.0,1392442.0,21113.0,46138.0,10679.0,1926.0,8319.0,20466.0,146393.0,891768.0,96824.0
2016,9785.0,360226.0,1325551.0,67214.0,109794.0,12088.0,7433.0,158089.0,34651.0,150090.0,316533.0,99649.0
2017,9727.0,310560.0,1315526.0,61724.0,121576.0,11919.0,5371.0,157689.0,29683.0,143134.0,355849.0,108294.0
2018,9473.0,335464.0,1454494.0,65066.0,135993.0,15680.0,7456.0,162557.0,31508.0,147562.0,435905.0,107829.0
2019,10143.0,389600.0,1634340.0,62758.0,142972.0,17764.0,5325.0,200801.0,26516.0,152690.0,517342.0,108429.0
2020,10090.8,406175.4,1683477.2,61148.3,162729.0,18360.6,5056.7,226416.5,30359.5,156894.4,474999.7,131246.4
2021,11075.8,511338.1,1954548.5,111666.7,166632.2,16689.9,5261.4,260063.6,33217.3,175236.5,526181.3,137185.6
2022,10598.6,399963.6,1944542.3,139502.1,176676.4,14109.2,3725.7,251678.0,17291.7,169230.4,627121.3,134645.4
2023,11168.7,630514.0,2230025.1,97621.2,175701.6,13132.3,3559.7,241035.2,31726.5,230728.4,663052.9,131784.8
2024,11762.8,644178.3,2467527.5,97429.3,192802.7,14128.1,3396.3,270151.0,41798.0,225072.8,827706.3,139101.9
